HT_link,AT_Link,Season,HT_Game_Penalty_Cards,AT_Game_Penalty_Cards
fc-ingolstadt-04,energie-cottbus,2013,1,0
fc-erzgebirge-aue,st-pauli,2013,0,2
hertha-bsc,paderborn,2013,2,3
1860-munchen,ssv-jahn-regensburg,2013,1,2
bochum,sg-dynamo-dresden,2013,1,1
msv-duisburg,vfr-aalen,2013,1,0
sv-sandhausen,fsv-frankfurt,2013,1,0
eintracht-brau-hellip,1-fc-koln,2013,1,0
kaiserslautern,1-fc-union-berlin,2013,0,1
1-fc-koln,sv-sandhausen,2013,0,1
vfr-aalen,kaiserslautern,2013,0,2
energie-cottbus,fc-erzgebirge-aue,2013,2,2
paderborn,bochum,2013,0,3
st-pauli,fc-ingolstadt-04,2013,0,2
1-fc-union-berlin,eintracht-brau-hellip,2013,1,2
ssv-jahn-regensburg,msv-duisburg,2013,1,4
fsv-frankfurt,hertha-bsc,2013,1,2
sg-dynamo-dresden,1860-munchen,2013,1,2
hertha-bsc,ssv-jahn-regensburg,2013,3,3
eintracht-brau-hellip,paderborn,2013,3,3
sv-sandhausen,1-fc-union-berlin,2013,0,2
msv-duisburg,sg-dynamo-dresden,2013,0,2
energie-cottbus,st-pauli,2013,2,2
kaiserslautern,1860-munchen,2013,2,1
bochum,vfr-aalen,2013,1,4
fc-ingolstadt-04,fsv-frankfurt,2013,3,1
fc-erzgebirge-aue,1-fc-koln,2013,2,2
1860-munchen,msv-duisburg,2013,1,5
sg-dynamo-dresden,kaiserslautern,2013,1,3
1-fc-koln,energie-cottbus,2013,1,3
st-pauli,sv-sandhausen,2013,0,2
vfr-aalen,eintracht-brau-hellip,2013,2,1
paderborn,fc-ingolstadt-04,2013,3,3
fsv-frankfurt,fc-erzgebirge-aue,2013,1,0
ssv-jahn-regensburg,bochum,2013,3,4
1-fc-union-berlin,hertha-bsc,2013,2,4
bochum,1860-munchen,2013,1,2
fc-ingolstadt-04,1-fc-union-berlin,2013,0,3
energie-cottbus,fsv-frankfurt,2013,2,1
eintracht-brau-hellip,ssv-jahn-regensburg,2013,0,4
sv-sandhausen,sg-dynamo-dresden,2013,2,1
hertha-bsc,vfr-aalen,2013,2,2
kaiserslautern,msv-duisburg,2013,2,2
fc-erzgebirge-aue,paderborn,2013,1,3
1-fc-koln,st-pauli,2013,1,0
1-fc-union-berlin,1-fc-koln,2013,1,0
fsv-frankfurt,st-pauli,2013,1,1
vfr-aalen,fc-erzgebirge-aue,2013,0,3
kaiserslautern,hertha-bsc,2013,4,3
paderborn,sv-sandhausen,2013,1,2
ssv-jahn-regensburg,energie-cottbus,2013,0,1
1860-munchen,eintracht-brau-hellip,2013,5,1
sg-dynamo-dresden,fc-ingolstadt-04,2013,1,2
msv-duisburg,bochum,2013,2,1
1-fc-koln,fsv-frankfurt,2013,2,1
st-pauli,vfr-aalen,2013,2,2
energie-cottbus,paderborn,2013,1,1
sv-sandhausen,ssv-jahn-regensburg,2013,2,3
hertha-bsc,sg-dynamo-dresden,2013,2,1
eintracht-brau-hellip,msv-duisburg,2013,1,1
fc-ingolstadt-04,1860-munchen,2013,3,0
fc-erzgebirge-aue,1-fc-union-berlin,2013,6,3
bochum,kaiserslautern,2013,2,3
paderborn,1-fc-koln,2013,1,3
vfr-aalen,fsv-frankfurt,2013,1,3
ssv-jahn-regensburg,st-pauli,2013,1,4
1860-munchen,sv-sandhausen,2013,1,0
1-fc-union-berlin,energie-cottbus,2013,5,3
kaiserslautern,eintracht-brau-hellip,2013,2,1
sg-dynamo-dresden,fc-erzgebirge-aue,2013,3,4
bochum,fc-ingolstadt-04,2013,3,4
msv-duisburg,hertha-bsc,2013,3,3
hertha-bsc,1860-munchen,2013,3,3
st-pauli,1-fc-union-berlin,2013,2,1
fsv-frankfurt,paderborn,2013,2,5
eintracht-brau-hellip,bochum,2013,1,5
energie-cottbus,msv-duisburg,2013,2,4
fc-ingolstadt-04,kaiserslautern,2013,3,1
fc-erzgebirge-aue,ssv-jahn-regensburg,2013,4,2
sv-sandhausen,vfr-aalen,2013,2,1
1-fc-koln,sg-dynamo-dresden,2013,3,2
kaiserslautern,sv-sandhausen,2013,3,5
msv-duisburg,fc-ingolstadt-04,2013,2,3
bochum,hertha-bsc,2013,2,2
sg-dynamo-dresden,eintracht-brau-hellip,2013,2,2
ssv-jahn-regensburg,1-fc-koln,2013,1,0
paderborn,st-pauli,2013,2,2
1-fc-union-berlin,fsv-frankfurt,2013,4,1
vfr-aalen,energie-cottbus,2013,3,1
1860-munchen,fc-erzgebirge-aue,2013,2,4
1-fc-koln,kaiserslautern,2013,2,4
fc-ingolstadt-04,vfr-aalen,2013,3,1
energie-cottbus,1860-munchen,2013,1,1
eintracht-brau-hellip,hertha-bsc,2013,1,2
fc-erzgebirge-aue,bochum,2013,1,1
